date,rate,source
2024-12-06,25393.0,yfinance
2024-12-09,25375.0,yfinance
2024-12-10,25370.0,yfinance
2024-12-11,25360.0,yfinance
2024-12-12,25380.0,yfinance
2024-12-13,25394.0,yfinance
2024-12-16,25400.0,yfinance
2024-12-17,25385.0,yfinance
2024-12-18,25430.0,yfinance
2024-12-19,25445.0,yfinance
2024-12-20,25450.0,yfinance
2024-12-23,25445.0,yfinance
2024-12-24,25440.0,yfinance
2024-12-25,25425.0,yfinance
2024-12-26,25420.0,yfinance
2024-12-27,25425.0,yfinance
2024-12-30,25445.0,yfinance
2024-12-31,25476.0,yfinance
2025-01-02,25480.0,yfinance
2025-01-03,25450.0,yfinance
2025-01-06,25400.0,yfinance
2025-01-07,25370.0,yfinance
2025-01-08,25360.0,yfinance
2025-01-09,25370.0,yfinance
2025-01-10,25375.0,yfinance
2025-01-13,25360.0,yfinance
2025-01-14,25390.0,yfinance
2025-01-15,25380.0,yfinance
2025-01-16,25375.0,yfinance
2025-01-17,25370.0,yfinance
2025-01-20,25300.0,yfinance
2025-01-21,25315.0,yfinance
2025-01-22,25260.0,yfinance
2025-01-23,25050.0,yfinance
2025-01-24,25080.0,yfinance
2025-01-27,25060.0,yfinance
2025-01-28,25060.0,yfinance
2025-01-29,25060.0,yfinance
2025-01-30,25060.0,yfinance
2025-01-31,25060.0,yfinance
2025-02-03,25060.0,yfinance
2025-02-04,25280.0,yfinance
2025-02-05,25280.0,yfinance
2025-02-06,25145.0,yfinance
2025-02-07,25260.0,yfinance
2025-02-10,25290.0,yfinance
2025-02-11,25380.0,yfinance
2025-02-12,25530.0,yfinance
2025-02-13,25550.0,yfinance
2025-02-14,25440.0,yfinance
2025-02-17,25370.0,yfinance
2025-02-18,25470.0,yfinance
2025-02-19,25500.0,yfinance
2025-02-20,25515.0,yfinance
2025-02-21,25500.0,yfinance
2025-02-24,25510.0,yfinance
2025-02-25,25468.0,yfinance
2025-02-26,25520.0,yfinance
2025-02-27,25535.0,yfinance
2025-02-28,25520.0,yfinance
2025-03-03,25530.0,yfinance
2025-03-04,25575.0,yfinance
2025-03-05,25540.0,yfinance
2025-03-06,25490.0,yfinance
2025-03-07,25485.0,yfinance
2025-03-10,25480.0,yfinance
2025-03-11,25525.0,yfinance
2025-03-12,25450.0,yfinance
2025-03-13,25445.0,yfinance
2025-03-14,25490.0,yfinance
2025-03-17,25500.0,yfinance
2025-03-18,25510.0,yfinance
2025-03-19,25510.0,yfinance
2025-03-20,25535.0,yfinance
2025-03-21,25545.0,yfinance
2025-03-24,25585.0,yfinance
2025-03-25,25620.0,yfinance
2025-03-26,25600.0,yfinance
2025-03-27,25555.0,yfinance
2025-03-28,25560.0,yfinance
2025-03-31,25550.0,yfinance
2025-04-01,25565.0,yfinance
2025-04-02,25620.0,yfinance
2025-04-03,25600.0,yfinance
2025-04-04,25600.0,yfinance
2025-04-07,25770.0,yfinance
2025-04-08,25780.0,yfinance
2025-04-09,25995.0,yfinance
2025-04-10,25960.0,yfinance
2025-04-11,25720.0,yfinance
2025-04-14,25715.0,yfinance
2025-04-15,25824.0,yfinance
2025-04-16,25790.0,yfinance
2025-04-17,25830.0,yfinance
2025-04-22,25871.0,yfinance
2025-04-23,25932.0,yfinance
2025-04-24,25965.0,yfinance
2025-04-25,26026.0,yfinance
2025-04-28,26019.0,yfinance
2025-04-29,25970.0,yfinance
2025-04-30,25980.0,yfinance
2025-05-01,25980.0,yfinance
2025-05-02,25980.0,yfinance
2025-05-05,25980.0,yfinance
2025-05-06,25942.0,yfinance
2025-05-07,25948.0,yfinance
2025-05-08,25953.0,yfinance
2025-05-09,25959.0,yfinance
2025-05-12,25952.0,yfinance
2025-05-13,25960.0,yfinance
2025-05-14,25951.0,yfinance
2025-05-15,25924.0,yfinance
2025-05-16,25920.0,yfinance
2025-05-19,25917.0,yfinance
2025-05-20,25932.0,yfinance
2025-05-21,25950.0,yfinance
2025-05-22,25950.0,yfinance
2025-05-23,25973.0,yfinance
2025-05-26,25946.0,yfinance
2025-05-27,25897.0,yfinance
2025-05-28,25903.0,yfinance
2025-05-29,25950.0,yfinance
2025-05-30,25996.0,yfinance
2025-06-02,26019.0,yfinance
2025-06-03,26022.0,yfinance
2025-06-04,26038.0,yfinance
2025-06-05,26071.0,yfinance
2025-06-06,26056.0,yfinance
2025-06-09,26047.0,yfinance
2025-06-10,26025.0,yfinance
2025-06-11,25990.0,yfinance
2025-06-12,26010.0,yfinance
2025-06-13,26020.0,yfinance
2025-06-16,26050.0,yfinance
2025-06-17,26030.0,yfinance
2025-06-18,26072.0,yfinance
2025-06-19,26092.0,yfinance
2025-06-20,26123.0,yfinance
2025-06-23,26119.0,yfinance
2025-06-24,26190.0,yfinance
2025-06-25,26150.0,yfinance
2025-06-26,26150.0,yfinance
2025-06-27,26100.0,yfinance
2025-06-30,26090.0,yfinance
2025-07-01,26118.0,yfinance
2025-07-02,26110.0,yfinance
2025-07-03,26150.0,yfinance
2025-07-04,26175.0,yfinance
2025-07-07,26158.0,yfinance
2025-07-08,26120.0,yfinance
2025-07-09,26110.0,yfinance
2025-07-10,26138.0,yfinance
2025-07-11,26100.0,yfinance
2025-07-14,26108.0,yfinance
2025-07-15,26100.0,yfinance
2025-07-16,26120.0,yfinance
2025-07-17,26140.0,yfinance
2025-07-18,26135.0,yfinance
2025-07-21,26140.0,yfinance
2025-07-22,26130.0,yfinance
2025-07-23,26120.0,yfinance
2025-07-24,26120.0,yfinance
2025-07-25,26110.0,yfinance
2025-07-28,26120.0,yfinance
2025-07-29,26165.0,yfinance
2025-07-30,26195.0,yfinance
2025-07-31,26200.0,yfinance
2025-08-01,26197.0,yfinance
2025-08-04,26190.0,yfinance
2025-08-05,26174.0,yfinance
2025-08-06,26225.0,yfinance
2025-08-07,26200.0,yfinance
2025-08-08,26190.0,yfinance
2025-08-11,26200.0,yfinance
2025-08-12,26231.0,yfinance
2025-08-13,26245.0,yfinance
2025-08-14,26265.0,yfinance
2025-08-15,26230.0,yfinance
2025-08-18,26240.0,yfinance
2025-08-19,26275.0,yfinance
2025-08-20,26290.0,yfinance
2025-08-21,26370.0,yfinance
2025-08-22,26405.0,yfinance
2025-08-24,26300.0,yfinance
2025-08-25,26300.0,yfinance
2025-08-26,26120.0,yfinance
